index,被调用方法,被调用次数
0,SearchRestrictions_eq,516
1,SearchRestrictions_belongsTo,481
2,BigDecimalUtils_convertNullToZero,147
3,FontUtils_getDejavuRegular7Dark,134
4,SearchRestrictions_in,75
5,SearchRestrictions_isNull,65
6,SearchOrders_asc,60
7,PluginUtils_isEnabled,53
8,SearchRestrictions_ne,51
9,FontUtils_getDejavuBold9Dark,50
10,DateUtils_parseAndComplete,47
11,SearchRestrictions_or,46
12,SearchOrders_desc,39
13,Either_left,37
14,Either_right,35
15,DateUtils_toDateTimeString,34
16,ClassNameUtils_getFullyQualifiedClassName,34
17,SearchRestrictions_isNotNull,33
18,DateUtils_parseDate,32
19,SearchRestrictions_and,29
20,FontUtils_getDejavuBold11Dark,27
21,GridComponentFilterUtils_getFieldNameByColumnName,26
22,FontUtils_getDejavuRegular9Dark,25
23,FontUtils_getDejavuBold10Dark,24
24,DateUtils_toDateString,23
25,SearchRestrictions_idEq,21
26,ValueAndError_withoutError,21
27,SearchProjections_alias,20
28,SearchRestrictions_gt,20
29,BigDecimalUtils_valueEquals,20
30,PluginDependencyResultImpl_satisfiedDependencies,20
31,FontUtils_getDejavuBold7Dark,19
32,SearchRestrictions_idNe,18
33,RibbonUtils_translateRibbonAction,18
34,SearchRestrictions_le,17
35,BigDecimalUtils_tryParse,17
36,SearchProjections_id,17
37,FontUtils_getDejavuRegular10Dark,17
38,SearchRestrictions_lt,15
39,ColorUtils_getDarkColor,14
40,ColorUtils_getLightColor,13
41,EntityOpResult_successfull,12
42,SearchRestrictions_like,12
43,MenuItemDefinition_create,12
44,SearchRestrictions_eqField,11
45,OrderDates_of,11
46,EntityTestUtils_mockEntity,11
47,SearchProjections_field,11
48,FontUtils_getDejavu,11
49,ValueAndError_withError,11
50,SearchProjections_list,10
51,BigDecimalUtils_tryParseAndIgnoreSeparator,10
52,TimeConverterService_convertTimeToString,10
53,SearchRestrictions_ilike,10
54,EntityTreeUtilsService_getDetachedEntityTree,9
55,EntityTestUtils_stubBelongsToField,9
56,SearchProjections_rowCount,8
57,SearchRestrictions_ge,8
58,DeviationsReportCriteria_forDates,8
59,Phrases_tableContent,8
60,XlsDataType_getValue,7
61,SearchSubqueries_notExists,7
62,ColorUtils_getLineDarkColor,7
63,PluginOperationResultImpl_success,7
64,FileUtils_getInstance,7
65,SearchRestrictions_not,6
66,GridComponentFilterSQLUtils_addFilters,6
67,EntityTestUtils_stubId,6
68,FluentOptional_wrap,6
69,EntityUtils_getIdExtractor,6
70,LazyStream_create,6
71,GeneratorView_from,6
72,MultiTenantUtil_doInMultiTenantContext,6
73,PluginDependencyResultImpl_unsatisfiedDependencies,6
74,FontUtils_getDejavuRegular9Light,6
75,ExpressionUtils_getValue,6
76,SearchProjections_sum,5
77,BatchUtil_extractNumberFrom,5
78,IntegerUtils_convertNullToZero,5
79,MessagesUtil_joinArgs,5
80,FontUtils_getDejavuBold17Light,5
81,MultiTenantUtil_getCurrentTenantId,5
82,GridComponentFilterUtils_getFieldDefinition,5
