className_funcName,doc
RepeatSubmitInterceptor_isRepeatSubmit,"/**
     * 验证是否重复提交由子类实现具体的防重复提交的规则
     *
     * @param request
     * @return
     * @throws Exception
     */"
SameUrlDataInterceptor_compareParams,"/**
     * 判断参数是否相同
     */"
SameUrlDataInterceptor_compareTime,"/**
     * 判断两次间隔时间
     */"
ApplicationConfig_jacksonObjectMapperCustomization,"/**
     * 时区配置
     */"
ServerConfig_getUrl,"/**
     * 获取完整的请求路径，包括：域名，端口，上下文访问路径
     * 
     * @return 服务地址
     */"
ThreadPoolConfig_scheduledExecutorService,"/**
     * 执行周期性或定时任务
     */"
SecurityConfig_authenticationManagerBean,"/**
     * 解决 无法直接注入 AuthenticationManager
     *
     * @return
     * @throws Exception
     */"
SecurityConfig_configure,"/**
     * 身份认证接口
     */"
SecurityConfig_bCryptPasswordEncoder,"/**
     * 强散列哈希加密实现
     */"
ResourcesConfig_addInterceptors,"/**
     * 自定义拦截规则
     */"
ResourcesConfig_corsFilter,"/**
     * 跨域配置
     */"
DruidConfig_setDataSource,"/**
     * 设置数据源
     * 
     * @param targetDataSources 备选数据源集合
     * @param sourceName 数据源名称
     * @param beanName bean名称
     */"
DruidConfig_removeDruidFilterRegistrationBean,"/**
     * 去除监控页面底部的广告
     */"
RedisConfig_limitScriptText,"/**
     * 限流脚本
     */"
DynamicDataSourceContextHolder_setDataSourceType,"/**
     * 设置数据源的变量
     */"
DynamicDataSourceContextHolder_getDataSourceType,"/**
     * 获得数据源的变量
     */"
DynamicDataSourceContextHolder_clearDataSourceType,"/**
     * 清空数据源变量
     */"
WebSocketServer_onOpen,"/**
     * 连接建立成功调用的方法
     */"
WebSocketServer_onClose,"/**
     * 连接关闭时处理
     */"
WebSocketServer_onError,"/**
     * 抛出异常时处理
     */"
WebSocketServer_onMessage,"/**
     * 服务器接收到客户端消息时调用的方法
     */"
WebSocketUsers_put,"/**
     * 存储用户
     *
     * @param key 唯一键
     * @param session 用户信息
     */"
WebSocketUsers_remove,"/**
     * 移出用户
     *
     * @param key 键
     */"
WebSocketUsers_getUsers,"/**
     * 获取在线用户列表
     *
     * @return 返回用户集合
     */"
WebSocketUsers_sendMessageToUsersByText,"/**
     * 群发消息文本消息
     *
     * @param message 消息内容
     */"
