index,被调用方法,被调用次数
0,StringUtils_isNotNull,242
1,AjaxResult_error,226
2,AjaxResult_success,220
3,DateUtils_getNowDate,176
4,StringUtils_isNotEmpty,55
5,StringUtils_isEmpty,51
6,StringUtils_isNull,41
7,StringUtils_format,22
8,CalendarUtil_getDateStr,18
9,Convert_toStr,16
10,BeanUtils_copyBeanProp,15
11,SpringUtils_getBean,13
12,AsyncManager_me,12
13,StringUtils_substring,12
14,ServletUtils_getRequest,11
15,AsyncFactory_recordLogininfor,10
16,SecurityUtils_getLoginUser,10
17,Arith_div,10
18,MessageUtils_message,8
19,Arith_mul,8
20,StringUtils_containsAnyIgnoreCase,7
21,DictUtils_setDictCache,7
22,SecurityUtils_encryptPassword,6
23,ScheduleUtils_getJobKey,6
24,SysUser_isAdmin,6
25,IpUtils_getIpAddr,5
26,Arith_round,5
27,Convert_toBool,5
28,Convert_toInt,5
29,RuoYiConfig_getProfile,4
30,LogUtils_getBlock,4
31,DictUtils_getDictValue,4
32,DateUtils_parseDateToStr,4
33,SecurityUtils_getUserId,4
34,SpringUtils_getAopProxy,4
35,StringUtils_toCamelCase,4
36,UUID_randomUUID,4
37,ServletUtils_renderString,3
38,AddressUtils_getRealAddressByIP,3
39,ScheduleUtils_createScheduleJob,3
40,CronUtils_isValid,3
41,StringUtils_ishttp,3
42,VelocityInitializer_initVelocity,3
43,VelocityUtils_prepareContext,3
44,VelocityUtils_getTemplateList,3
45,VelocityUtils_getFileName,3
46,DateUtils_parseDate,3
47,EscapeUtil_clean,3
48,Convert_toDouble,3
49,FileUploadUtils_upload,3
50,FileUtils_getName,3
51,CalendarUtil_getDays,3
52,WebSocketUsers_sendMesssageToUserByName,2
53,WebSocketUsers_sendMessageToUserByText,2
54,WebSocketUsers_remove,2
55,SemaphoreUtils_release,2
56,IdUtils_fastUUID,2
57,StringUtils_trim,2
58,StringUtils_nvl,2
59,DateUtils_getServerStartDate,2
60,ScheduleUtils_whiteList,2
61,JobInvokeUtil_invokeMethod,2
62,Convert_toLongArray,2
63,BeanValidators_validateWithException,2
64,GenUtils_initColumnField,2
65,Convert_toStrArray,2
66,StringUtils_convertToCamelCase,2
67,GenConfig_getPackageName,2
68,TableSupport_buildPageRequest,2
69,SqlUtil_escapeOrderBySql,2
70,ServletUtils_getParameterToInt,2
71,ServletUtils_getParameter,2
72,Convert_utf8Str,2
73,StringUtils_inStringIgnoreCase,2
74,Convert_toLong,2
75,Convert_toFloat,2
76,DateUtils_datePath,2
77,RuoYiConfig_getDownloadPath,2
78,DateUtils_toDate,2
79,UUID_fastUUID,2
80,FileUtils_checkAllowDownload,2
81,FileUtils_setAttachmentResponseHeader,2
82,FileUtils_writeBytes,2
83,FileUtils_deleteFile,2
84,RuoYiConfig_getUploadPath,2
85,FileUploadUtils_uploadMinio,2
86,SecurityUtils_matchesPassword,2
87,CalendarUtil_getQuarterStartStr,2
88,CalendarUtil_getMonthStartStr,2
89,CalendarUtil_getWeekStartTimeStr,2
90,HttpHelper_getBodyString,1
91,Threads_printException,1
92,DynamicDataSourceContextHolder_getDataSourceType,1
93,SemaphoreUtils_tryAcquire,1
94,WebSocketUsers_put,1
95,WebSocketUsers_getUsers,1
96,Threads_shutdownAndAwaitTermination,1
97,SecurityUtils_getAuthentication,1
98,AsyncFactory_recordOper,1
99,DynamicDataSourceContextHolder_setDataSourceType,1
100,DynamicDataSourceContextHolder_clearDataSourceType,1
101,PhoneUtils_isMobile,1
102,IpUtils_getHostName,1
103,IpUtils_getHostIp,1
104,DateUtils_getDatePoor,1
105,ExceptionUtil_getExceptionMessage,1
106,CronUtils_getNextExecution,1
107,SecurityUtils_isAdmin,1
108,DictUtils_getDictCache,1
109,DictUtils_removeDictCache,1
110,DictUtils_clearDictCache,1
111,SecurityUtils_getUsername,1
112,GenUtils_initTable,1
113,DateUtils_getDate,1
114,GenConfig_getAuthor,1
115,GenConfig_getAutoRemovePre,1
116,GenConfig_getTablePrefix,1
117,PageUtils_startPage,1
118,PageUtils_clearPage,1
119,ServletUtils_getParameterToBool,1
120,StringUtils_toUnderScoreCase,1
121,StringUtils_matches,1
122,StrFormatter_format,1
123,StringUtils_cast,1
124,IpUtils_internalIp,1
125,RuoYiConfig_isAddressEnabled,1
126,HttpUtils_sendGet,1
127,RuoYiConfig_getImportPath,1
128,FileUploadUtils_getAbsoluteFile,1
129,FileUploadUtils_getPathFileName,1
130,FileTypeUtils_getFileType,1
131,MinioUtil_uploadFile,1
132,Seq_getId,1
133,MimeTypeUtils_getExtension,1
134,ServletUtils_urlDecode,1
135,EscapeUtil_escape,1
136,EscapeUtil_unescape,1
137,Convert_toBigDecimal,1
138,FileUtils_writeImportBytes,1
139,ReflectUtils_invokeSetter,1
140,ImageUtils_getImage,1
141,FileTypeUtils_getFileExtendName,1
142,DictUtils_getDictLabel,1
143,DateUtils_dateTimeNow,1
144,StringUtils_padl,1
145,IdUtils_simpleUUID,1
146,RuoYiConfig_getCaptchaType,1
147,Base64_encode,1
148,RuoYiConfig_getAvatarPath,1
149,CalendarUtil_getDateDiff,1
150,CalendarUtil_addDays,1
151,BarcodeUtil_generateBarCode,1
152,FileUtils_getMultipartFile,1
